Platz,Nr.,Name,Nation,CountryCode,Verein,Category,Time,Brutto
1,3429,Christophe Thill,Luxembourg,LUX,,M35,01:18:26,01:18:27
2,3384,Philip Scholz,Germany,GER,SV Mergelstetten,M30,01:19:51,01:19:51
3,3536,Marc Schmidt,Germany,GER,TSV - Betzigau,M50,01:20:38,01:20:39
4,3251,Erich Lantschner,Italy,ITA,Läuferclub Kaltern,M40,01:21:21,01:21:23
5,3527,Robert Götz,Germany,GER,K.V. Ronspitzler,M40,01:22:38,01:22:39
6,3446,Stefan Vogler,Austria,AUT,,M20,01:25:34,01:25:34
7,3409,Oumar Sow,Sierra Leone,SLE,TSG Füssen,M20,01:26:05,01:26:06
8,3308,Laura Opt-Eynde,Germany,GER,Kimbia Sports,W30,01:26:15,01:26:16
9,3369,David Schmidt,Germany,GER,LG Laufarena Allgäu,M30,01:26:47,01:26:48
10,3066,Konstantin Dobroliubov,Russian Federation,RUS,,M30,01:26:56,01:26:58
11,3378,Fabian Schmölz,Germany,GER,SV Rieden a.F.,M20,01:27:02,01:27:05
12,3492,Johannes Mayer,Germany,GER,Häckstixx,M20,01:27:09,01:27:10
13,3038,Thomas Blum,Germany,GER,SC Altstädten,M50,01:27:28,01:27:28
14,3342,Jürgen Rosengart,Germany,GER,,M35,01:28:32,01:28:33
15,3114,Daniel Fuchs,Germany,GER,Team ultraSPORTS,M30,01:28:42,01:28:44
16,3497,Marcel Bühler,Germany,GER,,M50,01:28:47,01:28:49
17,3218,Sebastian Kleinloff,Germany,GER,Team Erdinger Alkoholfrei,M35,01:28:56,01:28:58
18,3163,Andreas Held,Germany,GER,,M35,01:29:00,01:29:01
19,3541,Martina Dannheimer,Germany,GER,Asics Frontrunner,W40,01:29:06,01:29:11
20,3491,Thomas Michel,Germany,GER,NSV Wernigerode,M45,01:29:24,01:29:27
21,3437,Constantin Toma,Romania,ROU,,M45,01:30:03,01:30:10
22,3344,Marc Rothenbücher,Germany,GER,SV Schöllkrippen,M20,01:30:19,01:30:24
23,3512,Stefan Hülsmann,Germany,GER,SV Mergelstetten,M55,01:31:25,01:31:31
24,3120,Klaus Göttlicher,Germany,GER,,M45,01:31:27,01:31:33
25,3216,Andreas Klass,Germany,GER,,M30,01:32:36,01:33:17
26,3519,Steve Müller,Germany,GER,Gruppo Sportivo Niente Stress,M30,01:32:44,01:32:46
27,3275,Darío Manzano,Spain,ESP,,M20,01:33:10,01:33:22
28,3192,Wolfgang Isenmann,Germany,GER,Team Fleig,M50,01:33:55,01:33:56
29,3002,Alexander Strauß,Germany,GER,Die Sträuße,M45,01:34:17,01:34:20
30,3410,Bernhard Springler,Germany,GER,TSV Behlingen-Ried,M50,01:34:31,01:34:33
31,3032,Andreas Bilger,Germany,GER,,M35,01:34:45,01:34:50
32,3155,Tony Hayba,United States of America,USA,,M45,01:35:05,01:35:12
33,3109,Daniel Freundt,Germany,GER,Spiridon Frankfurt,M40,01:35:08,01:35:21
34,3081,Eric Eisenbeis,Germany,GER,,M45,01:35:18,01:35:24
35,3490,Thomas Morgott,Germany,GER,LTF Theeltal,M45,01:36:18,01:36:38
36,3387,Günter Schreyer,Germany,GER,TSV Lengenwang,M40,01:36:22,01:36:27
37,3248,Benjamin Lämmle,Germany,GER,Saubuaba Rudersberg,M35,01:36:34,01:36:38
38,3260,Reinhard Linder,Italy,ITA,Läuferclub Kaltern,M55,01:36:48,01:36:52
39,3307,Eric Nüßgen,Germany,GER,,M20,01:36:59,01:37:05
40,3522,Edwin Horner,Germany,GER,Goldhofer LG,M60,01:37:09,01:37:20
41,3128,Andreas Greif,Italy,ITA,Läuferclub Kaltern,M45,01:37:14,01:37:18
42,3131,Thomas Grosser,Germany,GER,,M30,01:37:26,01:37:28
43,3535,Jan Börnigen,Germany,GER,,M50,01:37:33,01:37:39
44,3502,Manfred Siegl,Germany,GER,Schwangau - Run for Anita,M55,01:37:44,01:37:50
45,3507,Peter Spengler,Germany,GER,SWV Fischach,M55,01:37:47,01:37:49
46,3018,Stefan Balzus,Germany,GER,,M50,01:37:47,01:37:53
47,3444,Luc Van de Ven,Belgium,BEL,ACG - Geraardsbergen,M60,01:37:49,01:37:49
48,3334,Markus Riedmiller,Germany,GER,TSV Stiefenhofen,M45,01:37:50,01:37:57
49,3315,Rene Pehlemann,Germany,GER,LG Laufarena Allgäu,M35,01:37:57,01:37:58
50,3375,Kai Schmitte,Germany,GER,SV Rosellen,M45,01:38:18,01:38:28
51,3312,Marcel Palmeiro Rohleder,Germany,GER,,M35,01:38:43,01:38:48
52,3203,Yannick Kalk,Germany,GER,albside Running,M20,01:38:51,01:38:57
53,3540,Lorenzo Tanturri,Italy,ITA,,M35,01:38:59,01:39:06
54,3083,Dietrich Ellbrück,Germany,GER,,M55,01:39:02,01:39:14
55,3325,Vincenz Przybilke,Germany,GER,,M20,01:39:18,01:39:26
56,3309,Martina Ottes,Germany,GER,TSV Tutzing,W40,01:39:29,01:39:32
57,3256,Kim Lesden,Germany,GER,,M50,01:39:37,01:39:41
58,3124,Hendrik Graf,Germany,GER,Running Team Graf,M35,01:39:48,01:39:53
59,3352,Sebastian Schade,Germany,GER,TSV Schongau,M30,01:39:53,01:40:03
60,3288,Eduard Michel,Germany,GER,,M20,01:40:12,01:40:36
61,3289,Igor Michel,Germany,GER,,M20,01:40:13,01:40:36
62,3526,Iri Roppelt,Germany,GER,KSV Bauwatal,W35,01:40:14,01:40:18
63,3149,Ulrike Hartmann,Germany,GER,MTG Wangen Leichtathletik,W50,01:40:28,01:40:31
64,3533,Raphael Rohwetter,Germany,GER,Häckstixx,M20,01:40:31,01:40:58
65,3137,Bernd Haas,Germany,GER,SV Ebnat,M50,01:40:47,01:40:51
66,3049,Stefan Brutscher,Germany,GER,,M35,01:40:49,01:41:14
67,3443,Sven Ursin,France,FRA,,M20,01:41:05,01:41:16
68,3332,Benjamin Riedel,Germany,GER,,M35,01:41:28,01:41:47
69,3306,Ralf Nibbrig,Germany,GER,,M50,01:41:36,01:41:44
70,3115,David Gasper,Germany,GER,,M50,01:41:42,01:41:45
71,3286,Marco Meuter,Germany,GER,,M30,01:41:44,01:41:58
72,3167,Peter Heppekausen,Germany,GER,Tus Schildgen,M55,01:41:56,01:42:04
73,3343,Frank Roser,Germany,GER,FC Deutsche Post,M60,01:42:03,01:42:09
74,3534,Ferdinand Hauke,Germany,GER,Häckstixx,M30,01:42:19,01:42:45
75,3516,Simon Holler,Germany,GER,Team Ausrufezeichen,M35,01:42:20,01:42:35
76,3456,Thomas Waibel,Germany,GER,,M30,01:42:21,01:42:32
77,3464,Winnekpe Werobel,Germany,GER,SV Rückholz,M35,01:42:32,01:42:39
78,3265,Markus Lischka,Germany,GER,FT Jahn Landsberg,M40,01:42:38,01:42:45
79,3529,Peter Grömmer,Germany,GER,TV Immenstadt,M65,01:43:15,01:43:18
80,3305,Khoa Nguyen,Germany,GER,,M35,01:43:44,01:43:47
81,3226,Siegfried Konrad,Germany,GER,,M55,01:43:47,01:43:54
82,3520,Torsten Kohl,Germany,GER,LT Tv Russhütte,M50,01:43:55,01:44:15
83,3233,Florian Kratz,,EUR,MC Pirate e.V.,M40,01:44:07,01:44:15
84,3531,Samuel Nieberle,Germany,GER,,MJ,01:44:09,01:44:35
85,3498,Richard Wiede,Germany,GER,FC Füssen,M30,01:44:14,01:44:26
86,3273,Christoph Magg,Germany,GER,Pacerteam.de,M35,01:44:34,01:44:37
87,3072,Horst Dürr,Germany,GER,,M55,01:44:38,01:44:42
88,3364,Max Schenck,Germany,GER,SV Mergelstetten,M30,01:44:40,01:44:49
89,3269,Kurt Lorenz,Germany,GER,,M55,01:44:45,01:44:53
90,3421,Anna-Sophie Stübler,Germany,GER,,W20,01:44:45,01:44:59
91,3396,Alexander Schwajda,Germany,GER,,M45,01:44:48,01:44:51
92,3515,Volker Schmitt,Germany,GER,Spiridon Frankfurt,M40,01:44:48,01:45:02
93,3302,Christian Neumann,Germany,GER,SCC Berlin,M35,01:44:58,01:45:10
94,3293,Joachim Mühl,Germany,GER,Husky-Camp.de,M45,01:45:03,01:45:27
95,3279,Simone Mathiowetz,Germany,GER,,W30,01:45:10,01:45:21
96,3106,Inese Franzke,Latvia,LVA,,W35,01:45:10,01:45:13
97,3365,Alexandra Scherer,Germany,GER,TV Boos,W45,01:45:23,01:45:28
98,3025,Emanuela Berardi,Italy,ITA,GS GABBI,W55,01:45:25,01:45:35
99,3539,Daniel Miller,Germany,GER,,M40,01:45:31,01:46:17
100,3238,Daniel Kröner,Germany,GER,,M30,01:45:41,01:45:53
